Test instance;Tmax;# runs;# ants;iter. aco;alpha;beta;init. pher. val.;evaporation;granularity;iter. VNS;accept frequency;treshold
2_p562.txt;140;10;100;100;1;2;10;0,01;0,5;0;1000;0,95;

Run;CPU ACO;CPU VNS;# Tours ACO;# Tours VNS;# Tours PR ACO;# Tours PR VNS;# Tours Total ACO;# Tours Total VNS
1;180,996;181;14;576;16;1;13;566;
;;105;139,687;147,429;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-404-54-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;106;139,687;147,677;2785;1824;559-418-413-160-420-424-164-138-423-419-421-404-54-109-415-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;107;139,687;147,699;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-54-404-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;108;139,687;147,706;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-54-404-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-33-0-74-331-330-79-340-328-32-513-111-20-1-417-422-559
;;109;139,687;147,715;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-54-404-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-33-0-74-331-330-79-340-328-32-513-1-111-20-417-422-559
;;110;139,687;147,854;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-404-54-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-33-0-74-331-330-79-340-328-32-513-1-111-20-417-422-559
;;111;139,687;147,861;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-404-54-409-46-442-444-412-155-488-334-339-332-253-335-34-55-124-83-519-33-0-74-331-330-79-340-328-32-513-1-111-20-417-422-559
;;112;139,687;148,467;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-404-54-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-33-0-74-331-330-79-340-328-32-513-1-111-20-417-422-559
;;113;139,687;148,811;2785;1824;559-418-413-160-420-424-164-138-423-419-421-415-109-404-54-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-33-0-74-331-330-79-340-328-32-513-1-111-20-417-422-559
;;114;139,887;148,828;2804;1773;559-418-413-138-160-420-424-164-419-421-415-109-404-54-409-46-442-444-412-155-334-488-339-332-253-335-83-124-55-519-517-33-0-74-331-330-79-340-328-32-513-1-111-20-417-422-559
;;115;139,557;178,92;2653;1990;559-418-420-424-164-138-160-419-131-410-406-162-411-477-81-280-273-275-109-54-404-415-409-46-442-444-155-488-334-34-124-55-83-335-519-253-332-32-513-1-20-111-417-422-413-559

Run;9
;Tours ACO
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;139,898;138,914;2015;2385;559-418-160-420-424-164-138-419-391-82-377-98-380-385-117-102-378-125-132-374-388-557-494-139-103-150-153-245-249-67-242-65-460-235-2-518-403-14-416-110-422-559
;;2;139,668;151,252;2111;2339;559-418-160-420-424-164-138-419-377-82-98-380-385-117-102-378-125-132-374-388-557-494-139-103-150-153-245-249-67-147-242-65-460-235-459-244-248-2-518-403-416-110-422-559
;;3;139,948;28,0476;2143;2259;559-418-160-420-138-424-164-391-82-377-98-380-385-102-117-378-125-132-374-388-557-139-103-494-150-153-245-249-67-147-242-65-460-459-244-248-2-518-403-416-422-559
;;4;139,747;121,179;2484;2188;559-418-413-421-160-420-424-164-138-423-419-46-442-444-412-155-488-334-34-335-83-124-55-490-338-333-487-214-210-506-502-336-489-327-517-33-0-74-519-253-332-32-513-20-111-1-417-422-559
;;5;139,808;176,079;2098;2352;559-418-160-420-424-164-138-423-419-377-82-98-380-385-117-102-378-125-132-374-557-139-103-388-494-150-153-245-249-67-242-65-460-235-459-244-248-2-518-403-416-110-422-559
;;6;139,848;176,337;1990;2391;559-418-160-420-424-164-138-423-419-391-82-377-98-380-385-117-102-378-125-132-374-388-557-494-139-103-150-153-245-249-67-147-242-65-460-235-2-518-403-416-110-422-559
;;7;139,887;177,315;2282;2234;559-418-413-160-420-424-164-138-423-419-421-46-442-444-155-412-490-338-333-487-214-210-506-502-336-489-327-517-33-0-74-335-34-55-124-83-253-332-32-513-1-20-111-416-110-422-559
;;8;139,557;178,431;2691;2164;559-418-160-420-424-164-138-423-419-46-442-444-412-155-488-334-34-335-83-55-124-490-338-333-214-210-506-502-336-489-327-517-519-253-332-33-0-74-331-330-79-328-32-513-20-111-1-417-422-559
;;9;139,782;182,182;2320;2223;559-418-413-421-46-442-444-155-412-490-338-333-487-214-210-506-502-336-489-327-517-33-0-74-519-335-34-124-55-83-332-32-513-1-111-20-416-110-422-424-164-423-419-138-160-420-559
;;10;138,517;182,335;2325;2192;559-418-413-421-419-423-420-424-164-138-160-46-442-444-155-412-338-490-333-214-210-506-502-489-336-327-517-33-0-74-519-335-34-55-124-83-253-332-32-513-1-20-111-416-110-422-559
;;11;139,767;184,22;2706;2161;559-418-424-164-160-420-138-423-419-421-46-442-444-412-155-488-334-34-335-83-55-124-490-338-333-214-210-506-502-336-489-519-253-332-33-0-74-517-331-330-79-328-32-513-111-20-1-417-422-559
;;12;139,937;186,112;2738;2153;559-418-160-420-424-164-138-423-419-421-46-442-444-155-334-488-339-253-332-519-83-335-34-55-124-490-338-333-214-210-506-502-336-489-327-517-33-0-74-331-330-79-328-32-513-111-20-1-417-422-559
;;13;139,957;186,147;2648;2175;559-418-160-420-424-164-138-419-421-46-442-444-412-155-488-339-253-332-519-83-335-34-55-124-490-338-333-214-210-506-502-336-489-327-517-0-74-331-330-79-328-32-513-1-20-111-417-422-559
;;14;138,677;193,854;2773;2119;559-418-160-420-424-164-138-423-419-421-46-442-444-155-488-334-339-253-332-519-83-335-34-124-55-490-338-333-210-506-502-336-489-327-517-33-0-74-331-330-79-328-32-513-20-111-1-417-422-413-559
;;15;139,877;194,255;2827;2109;559-418-160-420-424-164-138-423-419-421-46-409-444-442-412-155-334-488-339-253-332-519-83-335-34-124-55-490-338-333-210-506-502-336-489-517-33-0-74-331-330-79-328-32-513-20-111-1-417-422-559
;;16;139,927;195,415;2760;2137;559-418-424-164-138-160-420-423-419-421-46-442-444-412-155-334-488-339-332-253-519-83-335-34-55-124-490-338-333-210-506-502-336-489-327-517-33-0-74-331-330-79-328-329-32-513-1-20-111-417-422-559

;Tours VNS
;;Index;Length;Time Of Adding;Score 1;Score2;Path
;;1;138,767;0,339414;1950;2052;559-413-421-46-419-423-377-82-98-380-385-102-117-378-125-132-374-388-557-494-150-139-103-389-379-391-110-416-111-20-1-32-513-422-424-164-138-160-420-418-559
;;2;139,827;0,09714;1960;2014;559-413-421-46-419-423-377-82-98-380-385-102-117-378-125-388-494-150-139-103-557-374-132-389-391-110-416-111-20-1-32-513-417-422-424-164-138-160-420-418-559
;;3;139,827;0,157856;1960;2014;559-413-421-46-419-423-377-82-98-380-385-117-102-378-125-388-494-150-139-103-557-374-132-389-391-110-416-111-20-1-32-513-417-422-424-164-138-160-420-418-559
;;4;139,927;0,195604;2011;2012;559-413-421-46-419-423-377-82-98-380-385-102-117-378-125-132-374-388-557-494-150-139-103-389-379-391-416-1-111-20-32-513-417-422-424-164-138-160-420-418-559
;;5;139,927;0,225143;2011;2012;559-413-421-46-419-423-377-82-98-380-385-117-102-378-125-132-374-388-557-494-150-139-103-389-379-391-416-1-111-20-32-513-417-422-424-164-138-160-420-418-559
;;6;139,927;0,288775;2011;2012;559-413-421-46-419-423-377-82-98-380-385-102-117-378-125-132-374-388-557-494-150-139-103-389-379-391-416-20-111-1-32-513-417-422-424-164-138-160-420-418-559
;;7;139,917;166,246;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-1-20-111-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;8;139,917;166,274;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-1-111-20-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;9;139,917;166,281;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-1-111-20-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;10;139,917;166,422;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-20-111-1-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;11;139,917;166,436;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-111-20-1-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;12;139,917;167,889;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-20-111-1-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;13;139,917;168,451;2649;1986;559-418-413-421-419-423-138-160-420-164-424-422-110-416-414-111-20-1-417-513-32-328-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;14;139,737;1,63329;2661;1946;559-418-422-110-416-414-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-419-423-160-420-138-164-424-559
;;15;139,737;1,66477;2661;1946;559-418-422-110-416-414-1-111-20-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-419-423-160-420-138-164-424-559
;;16;139,957;1,67061;2661;1946;559-418-422-417-110-416-414-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-419-423-160-420-138-164-424-559
;;17;139,587;1,67689;2661;1946;559-418-424-422-417-110-416-414-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-419-423-164-138-160-420-559
;;18;139,587;1,68908;2661;1946;559-418-424-422-417-110-416-414-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-253-332-339-488-334-155-412-444-442-46-409-415-421-419-423-164-138-160-420-559
;;19;139,607;165,836;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;20;139,607;165,92;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;21;139,117;165,947;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;22;139,117;167,026;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;23;139,117;167,039;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;24;139,117;167,052;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;25;139,117;167,083;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;26;139,117;167,657;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-559
;;27;139,117;167,664;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-334-488-155-412-444-442-46-409-415-559
;;28;139,117;167,687;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-334-488-155-412-444-442-46-409-415-559
;;29;139,117;167,702;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-559
;;30;139,117;167,715;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;31;139,117;168,472;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;32;139,117;169;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;33;139,117;170,035;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;34;139,117;170,146;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-559
;;35;139,117;170,884;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-559
;;36;139,117;171,016;2691;1938;559-418-413-421-419-423-138-160-420-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-559
;;37;139,607;171,125;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-559
;;38;139,607;171,405;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-444-442-46-409-415-559
;;39;139,607;171,559;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;40;139,607;171,581;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-253-332-339-488-334-155-412-442-444-46-409-415-559
;;41;139,607;171,602;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-20-111-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;42;139,607;171,652;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;43;139,607;171,68;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;44;139,607;171,694;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;45;139,607;171,7;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;46;139,607;171,775;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;47;139,607;171,802;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;48;139,607;171,816;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;49;139,607;171,862;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-559
;;50;139,607;171,891;2691;1938;559-418-413-421-419-423-160-420-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-559
;;51;139,727;171,966;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;52;139,667;171,989;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;53;139,947;172,01;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;54;139,947;172,021;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;55;139,727;172,929;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;56;139,947;173,125;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;57;139,727;173,178;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;58;139,947;173,298;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;59;139,947;173,314;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;60;139,947;173,828;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;61;139,727;173,834;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-111-20-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;62;139,727;173,884;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-488-334-155-412-444-442-46-409-415-421-559
;;63;139,727;174,416;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-444-442-46-409-415-421-559
;;64;139,727;174,431;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;65;139,727;174,449;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;66;139,947;174,467;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;67;139,947;174,481;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;68;139,667;174,501;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-55-124-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;69;139,667;174,509;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;70;139,667;174,53;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;71;139,667;174,586;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;72;139,667;174,609;2691;1938;559-418-413-420-138-160-423-419-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;73;139,727;174,713;2691;1938;559-418-413-420-160-419-423-138-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;74;139,947;174,74;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;75;139,667;175,322;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-1-20-111-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;76;139,667;175,35;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-111-20-1-417-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;77;139,667;175,357;2691;1938;559-418-413-420-138-160-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;78;139,947;175,391;2691;1938;559-418-413-160-420-138-423-419-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;79;139,727;175,397;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;80;139,897;175,517;2691;1938;559-418-413-423-419-138-160-420-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;81;139,947;175,591;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-488-334-155-412-442-444-46-409-415-421-559
;;82;139,947;175,618;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;83;139,727;175,641;2691;1938;559-418-413-420-160-423-419-138-164-424-422-110-416-417-1-111-20-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;84;139,947;175,876;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-442-444-46-409-415-421-559
;;85;139,947;175,883;2691;1938;559-418-413-160-420-138-419-423-164-424-422-110-416-417-20-111-1-513-32-328-340-79-330-331-33-0-74-327-517-519-335-34-124-55-83-332-253-339-334-488-155-412-444-442-46-409-415-421-559
;;86;139,937;15,0109;2719;1935;559-418-413-160-420-424-164-138-419-415-109-54-404-409-46-442-444-412-155-488-334-339-332-253-335-34-124-55-83-519-517-33-0-74-331-330-79-328-32-513-1-20-111-416-110-422-559
;;87;139,307;23,8474;2728;1880;559-418-413-420-424-164-138-160-423-419-421-415-109-54-404-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-327-517-33-0-74-331-330-79-328-32-513-1-111-20-417-422-559
;;88;139,937;23,8554;2728;1880;559-418-413-138-160-420-424-164-423-419-421-415-109-54-404-409-46-442-444-412-155-334-488-339-332-253-335-34-124-55-83-519-327-517-33-0-74-331-330-79-328-32-513-1-111-20-417-422-559
;;89;139,937;24,4239;2728;1880;559-418-413-138-160-420-424-164-423-419-421-415-109-54-404-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-327-517-33-0-74-331-330-79-328-32-513-1-111-20-417-422-559
;;90;139,937;24,482;2728;1880;559-418-413-138-160-420-424-164-423-419-421-415-109-404-54-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-327-517-33-0-74-331-330-79-328-32-513-1-111-20-417-422-559
;;91;139,937;24,4887;2728;1880;559-418-413-138-160-420-424-164-423-419-421-404-54-109-415-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-327-517-33-0-74-331-330-79-328-32-513-1-111-20-417-422-559
;;92;139,947;24,5264;2728;1880;559-418-424-164-423-419-138-160-420-413-421-415-109-404-54-409-46-442-444-412-155-334-488-339-332-253-335-34-55-124-83-519-327-517-33-0-74-331-330-79-328-32-513-1-111-20-417-422-559
